Port ID,Port / Facility,Country,Latitude,Longitude,Operator Company ID,Operator,Facility Type,Key Role,Coverage Note,Source ID
UKP023,Port of Liverpool,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP024,London Medway / Sheerness,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP025,London Medway / Chatham,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP026,Heysham,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP027,Great Yarmouth / Port of East Anglia,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP028,Clydeport,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP029,Manchester Ship Canal,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP030,Humber Bulk Terminal,United Kingdom,,,COMP_PEEL,Peel Ports Group,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0043
UKP031,Tilbury,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP032,Grangemouth,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP033,Dundee,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP034,Leith,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP035,Rosyth,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP036,Methil,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP037,Burntisland,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP038,Kirkcaldy,United Kingdom,,,COMP_FORTH,Forth Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0006
UKP039,Teesport,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP040,Hartlepool,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP041,Billingham,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP042,Teesport Commerce Park,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP043,Keadby,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP044,Immingham,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP045,Howden,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP046,Groveport,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP047,Thames,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP048,Isle of Wight,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP049,Felixstowe,United Kingdom,,,COMP_PDPORTS,PD Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0042
UKP050,Port of Felixstowe,United Kingdom,,,COMP_HUTCHISON,Hutchison Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0008
UKP051,Harwich International,United Kingdom,,,COMP_HUTCHISON,Hutchison Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0008
UKP052,London Thamesport,United Kingdom,,,COMP_HUTCHISON,Hutchison Ports,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0008
UKP053,London Gateway,United Kingdom,,,COMP_DPW,DP World,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0034
UKP054,Southampton Container Terminal,United Kingdom,,,COMP_DPW,DP World,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0034
UKP055,Avonmouth Dock,United Kingdom,,,COMP_BRISTOL,The Bristol Port Company,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0021
UKP056,Royal Portbury Dock,United Kingdom,,,COMP_BRISTOL,The Bristol Port Company,Port / terminal,Major commercial port or terminal,Phase 1 operator mapping,SRC_0021
PORTG0001,Sydney,Australia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0002,Brisbane,Australia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0003,Melbourne,Australia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0004,Fremantle,Australia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0005,Qingdao,China,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0006,Yantai,China,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0007,Hong Kong,China,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0008,Yiwu Port,China,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0009,Belawan,Indonesia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0010,East Java / Gresik,Indonesia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0011,Sapangar Bay,Malaysia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0012,Manila,Philippines,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0013,Batangas,Philippines,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0014,Cavite / Tanza,Philippines,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0015,Busan,South Korea,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0016,Laem Chabang,Thailand,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0017,Ho Chi Minh City,Vietnam,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0018,Port of Antwerp-Bruges,Belgium,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0019,Limassol,Cyprus,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0020,Rotterdam,Netherlands,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0021,Constanța,Romania,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0022,Novi Sad,Serbia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0023,Yarımca,Türkiye,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0024,Körfez,Türkiye,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0025,Pivdennyi,Ukraine,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0026,Luanda,Angola,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0027,Algiers,Algeria,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0028,Djen Djen,Algeria,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0029,Sokhna,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0030,Nhava Sheva,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0031,Mundra,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0032,Chennai,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0033,Cochin,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0034,Tuna Tekra,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0035,Maputo,Mozambique,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0036,Port Qasim,Pakistan,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0037,Jeddah Islamic Port,Saudi Arabia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0038,Dakar,Senegal,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0039,Ndayane,Senegal,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0040,Berbera,Somaliland,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0041,Dar es Salaam,Tanzania,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0042,Jebel Ali,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0043,Mina Al Hamriya,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0044,Dubai Creek / Deira,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0045,Mina Rashid,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0046,Fujairah,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0047,Banana,Democratic Republic of the Congo,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0048,Buenos Aires,Argentina,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0049,Santos,Brazil,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0050,San Antonio,Chile,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0051,Lirquén,Chile,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0052,Caucedo,Dominican Republic,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0053,Posorja,Ecuador,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0054,Callao,Peru,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0055,Paita,Peru,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0056,Paramaribo,Suriname,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0057,La Vigilantia,Suriname,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0058,Vancouver,Canada,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0059,Fraser Surrey,Canada,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0060,Nanaimo,Canada,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0061,Prince Rupert,Canada,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0062,Saint John,Canada,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0063,Montréal / Contrecœur,Canada,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0064,Corpus Christi,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0065,Khalifa Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0066,Zayed Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0067,Free Port (Old & New),United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0068,Musaffah Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0069,Mugharraq Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0070,Al Sila Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0071,Fujairah Port / Fujairah Terminals,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0072,Delma Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0073,Mirfa Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0074,Shahama Port,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0075,Sir Bani Yas Cruise Beach,United Arab Emirates,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0076,Port of Aqaba,Jordan,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0077,Port of Sharm El Sheikh,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0078,Port of Hurghada,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0079,Port Safaga,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0080,Port of Adabiya,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0081,Karachi Port East Wharf,Pakistan,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0082,Port of Pointe-Noire,Republic of the Congo,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0083,Tbilisi Intermodal Hub / Tbilisi Dry Port,Georgia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0084,Kuryk Port,Kazakhstan,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0085,Port of Douala,Cameroon,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0086,Port of Tarragona,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0087,Port of Castellón,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0088,Port of Sagunto,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0089,Port of Cartagena,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0090,Port of Málaga,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0091,Port of A Coruña,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0092,Port of Ferrol,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0093,Port of Santander,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0094,Port of Bilbao,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0095,Port of Vigo,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0096,Port of Barcelona,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0097,Port of Pasaia / Pasajes,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0098,Port of Los Angeles,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0099,Port of New York & New Jersey,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0100,Port of Vila do Conde,Brazil,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0101,Port of Imbituba,Brazil,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0102,Port of Valencia,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0103,Port of Algeciras,Spain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0104,Port of Kaohsiung,Taiwan,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0105,Cai Mep-Thi Vai,Vietnam,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0106,Jawaharlal Nehru Port,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0107,Lekki Deep Sea Port,Nigeria,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0108,Port of Alexandria,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0109,Nador West Med,Morocco,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0110,Port of Haiphong / Lach Huyen,Vietnam,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0111,Port of Hamburg,Germany,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0112,Port of Mombasa,Kenya,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0113,6th of October City,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0114,Port Édouard Herriot,France,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0115,Port Réunion,France (Réunion),,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0116,Port of Kribi,Cameroon,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0117,Port of Dunkirk,France,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0118,Port of Le Havre,France,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0119,Nantes Saint-Nazaire Port,France,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0120,Port of Marseille-Fos,France,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0121,Malta Freeport,Malta,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0122,Port of Thessaloniki,Greece,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0123,Port of Odesa,Ukraine,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0124,Tanger Med,Morocco,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0125,Port of Casablanca,Morocco,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0126,Port of Abidjan,Côte d’Ivoire,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0127,Port of Umm Qasr,Iraq,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0128,Port of Singapore,Singapore,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0129,PortMiami,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0130,Port Houston,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0131,Port of Kingston,Jamaica,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0132,Port of Long Beach,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0133,King Abdullah Port,Saudi Arabia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0134,Port of Navegantes,Brazil,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0135,Port of Lomé,Togo,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0136,Port Everglades,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0137,Port of New Orleans,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0138,Port of Seattle,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0139,Sparrows Point / Baltimore,United States,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0140,Kamarajar / Ennore Port,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0141,Vizhinjam Port,India,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0142,Misurata Free Zone Port,Libya,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0143,Port of Gioia Tauro,Italy,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0144,Port of Trieste,Italy,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0145,Port of Sines,Portugal,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0146,Port of Tekirdağ,Türkiye,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0147,Port of San Pedro,Côte d’Ivoire,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0148,Colón,Panama,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0149,Port of Buenos Aires / Dock Sud,Argentina,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0150,Port of Ningbo-Zhoushan,China,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0151,Port of Lázaro Cárdenas,Mexico,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0152,Port of Suape,Brazil,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0153,Khalifa Bin Salman Port,Bahrain,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0154,Port of Pointe-Noire,Congo,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0155,Port of Abidjan,Côte d'Ivoire,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0156,Port of San Pedro,Côte d'Ivoire,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0157,Port Said East Port,Egypt,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0158,Port of Tema,Ghana,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0159,Freeport of Monrovia,Liberia,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0160,Lagos Port Complex / Apapa,Nigeria,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0161,Onne Port,Nigeria,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0162,Port of Salalah,Oman,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0163,Port of Guangzhou,China,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
PORTG0164,Port of Shanghai,China,,,,,Port / harbour,Parent port for canonical terminal model,v1.13 global terminal expansion,
